feature,method,rmse,mae,distribution_drift,bias,absolute_bias,variance,execution_time_seconds,downstream_model_accuracy,masked_values
Staff_On_Duty,Mode,19.632296944915367,15.3125,15.312499999999996,-10.020833333333334,10.020833333333334,0.0,0.024353800000426418,0.66,192
Average_Length_of_Stay,Mode,1.1097928203798522,0.88328125,0.8832812500000002,-0.12067708333333292,0.12067708333333292,7.888609052210118e-31,0.024353800000426418,0.66,192
Emergency_Cases,Mode,7.221567812232096,5.744791666666667,5.744791666666667,-0.09895833333333333,0.09895833333333333,0.0,0.024353800000426418,0.66,192
Covid_Cases,Mode,7.098635432250342,4.890625,4.890625,-4.776041666666667,4.776041666666667,0.0,0.024353800000426418,0.66,192
ICU_Beds,Forward Fill,11.037577859295036,9.057291666666666,1.6614583333333335,-1.6614583333333333,1.6614583333333333,56.010416666666664,0.03154319999975996,0.6625,192
General_Beds,Forward Fill,30.226144174648983,23.682291666666668,5.182291666666667,-2.1510416666666665,2.1510416666666665,1107.1940104166667,0.03154319999975996,0.6625,192
Emergency_Beds,Forward Fill,14.490478195467993,12.015625,0.8177083333333336,-0.5572916666666666,0.5572916666666666,101.72848849826387,0.03154319999975996,0.6625,192
Occupied_Beds,Forward Fill,28.07476996047044,22.328125,2.3593750000000013,0.203125,0.203125,810.4842664930557,0.03154319999975996,0.6625,192
Available_Beds,Forward Fill,17.67295485574875,13.791666666666666,1.875,-0.6041666666666666,0.6041666666666666,509.5726725260417,0.03154319999975996,0.6625,192
Admissions,Forward Fill,12.241280910645477,9.828125,2.2968750000000004,2.296875,2.296875,83.22718641493056,0.03154319999975996,0.6625,192
Discharges,Forward Fill,13.94557874979259,10.989583333333334,0.8854166666666665,-0.22916666666666666,0.22916666666666666,117.60283745659721,0.03154319999975996,0.6625,192
Doctors,Forward Fill,2.681922506959016,2.1614583333333335,0.5468749999999999,-0.265625,0.265625,7.7967664930555545,0.03154319999975996,0.6625,192
Nurses,Forward Fill,11.051783886926732,8.513020833333334,2.2369791666666665,2.2265625,2.2265625,99.85025363498262,0.03154319999975996,0.6625,192
Staff_On_Duty,Forward Fill,18.182093984650578,14.213541666666666,1.8489583333333335,0.5677083333333334,0.5677083333333334,295.35674370659723,0.03154319999975996,0.6625,192
